1,45
2,91
3,8
4,52
5,97
6,1
7,51
8,91
9,3
10,50
11,91
12,8
13,52
14,94
15,9
16,52
17,96
18,4
19,49
20,94
21,7
22,53
23,90
24,5
25,46
26,98
27,3
28,48
29,92
30,8
31,45
32,95
33,8
34,53
35,94
36,8
37,53
38,97
39,6
40,52
41,100
42,5
43,54
44,90
45,9
46,47
47,94
48,9
49,47
50,97
51,2
52,45
53,90
54,4
55,45
56,92
57,6
58,45
59,96
60,9
61,52
62,91
63,6
64,51
65,94
66,10
67,48
68,94
69,1
70,46
71,99
72,9
73,50
74,91
75,7
76,47
77,96
78,5
79,49
80,97
81,7
82,55
83,95
84,4
85,47
86,93
87,9
88,55
89,93
90,2
91,53
92,92
93,10
94,46
95,98
96,7
97,52
98,90
99,3
100,53
101,90
102,3
